Tm;Player;Age;PER;points;rebounds;assists;steals;blocks
NYK;Trent Tucker;27;89;4.5;15.1;3.3;0.4;
PHO;Alvan Adams;32;45;11.2;18.4;1.7;1.3;
ATL;Jon Koncak;23;23;15.8;2.4;1.5;2.7;
SAS;Johnny Dawkins;23;56;5.5;24.9;1.9;0.1;
SAC;Joe Kleine;25;61;15.9;5.8;1;1;
SAC;Derek Smith;25;10;6;17.9;1.3;0.8;
PHO;Mike Sanders;26;9;9.2;11.1;1.7;0.8;
GSW;Terry Teagle;26;27;5.8;9.5;1.9;0.5;
PHI;David Wingate;23;41;5.6;14.2;2.8;0.7;
WSB;Charles Jones;29;19;11.7;6.4;2;5.7;
NJN;Pearl Washington;23;11;4.5;27.3;2.7;0.3;
PHI;Cliff Robinson;26;27;11.1;9;2.7;1.1;
DAL;Brad Davis;31;90;3.9;30.3;1.9;0.4;
GSW;Greg Ballard;32;80;11.8;9.3;1.5;0.5;
POR;Caldwell Jones;36;67;16.1;4.8;0.7;2.7;
SAS;Walter Berry;22;32;10.6;10.4;1.1;1.5;
DEN;Mike Evans;31;33;4.3;16.1;2.3;0.4;
LAC;Larry Drew;28;46;3.6;32.1;1.8;0.1;
BOS;Jerry Sichting;30;57;3.3;15.1;1.2;0;
DEN;Wayne Cooper;30;16;15.9;5.5;0.4;3.7;
PHO;Jeff Hornacek;23;21;6.6;29;2.1;0.2;
DEN;Danny Schayes;27;62;12.8;6.7;0.6;2.7;
WSB;Manute Bol;24;17;12.4;0.9;0.6;10.8;
LAC;Rory White;27;83;6.9;7.7;1.4;0.7;
LAL;Kurt Rambis;28;58;16.6;5;2.3;1.5;
GSW;Rod Higgins;27;100;8.7;8.6;1.3;0.8;
SEA;Danny Young;24;66;4.2;29.2;2.4;0.1;
HOU;Dirk Minniefield;26;19;4.8;30.7;2.1;0.2;
MIL;Randy Breuer;26;34;13.3;4.5;1.8;2.5;
DET;John Salley;22;83;10.9;4.7;1.4;4.9;
UTA;Bob Hansen;26;94;7.3;10.1;1.4;0.2;
POR;Kenny Carr;31;73;19.3;7.4;0.9;0.5;
NYK;Louis Orr;28;21;9;10.5;1.6;0.7;
DEN;Blair Rasmussen;24;14;17.2;5.6;0.8;2.3;
WSB;Darwin Cook;28;79;5.4;16;3.3;0.7;
ATL;Mike McGee;27;87;6.1;16.1;2.1;0.1;
DAL;Roy Tarpley;22;89;20.5;5;1.9;3.2;
IND;Clint Richardson;30;88;5.6;24.3;1.7;0.3;
WSB;Jay Vincent;27;1;8;9.4;1.4;0.7;
MIL;John Lucas;33;13;5.1;32.2;2.5;0.3;
CLE;Mark West;26;36;13.7;4.5;0.8;3.4;
HOU;Ralph Sampson;26;16;15.4;13.6;1.4;2.5;
WSB;Michael Adams;24;74;5;25.7;3.1;0.3;
NJN;Albert King;27;32;9.3;12.1;1.2;1.3;
GSW;Ben McDonald;24;53;7.8;8.6;1;0.4;
DET;Rick Mahorn;28;64;15.8;3.8;1.2;2.3;
IND;Kyle Macy;29;98;4.9;21.4;2.3;0.3;
SAS;Johnny Moore;28;42;4.5;27.7;3.2;0.1;
CLE;Mark Price;22;55;5.2;23.5;1.7;0.2;
SAS;Mychal Thompson;32;86;12.6;10.2;1.2;1.9;
HOU;Allen Leavell;29;11;2.9;25.4;2.2;0.5;
HOU;Steve Harris;23;9;8;12.9;1.5;0.8;
DET;Dennis Rodman;25;24;15.5;6.8;1.6;2.4;
LAC;Cedric Maxwell;31;76;12.2;15.3;1.1;0.5;
LAC;Lancaster Gordon;24;73;6.1;19.2;2.5;0.7;
SEA;Maurice Lucas;34;13;14.9;7.8;1.4;1.1;
DEN;Mark Alarie;23;51;10.1;8.9;0.9;1.4;
CHI;Earl Cureton;29;62;11.7;8.6;0.7;1.4;
PHO;Kenny Gattison;22;1;13.7;4.3;1;1.7;
BOS;Fred Roberts;26;60;9.9;7.3;1;1;
PHI;Andrew Toney;29;66;4.6;27.2;0.8;0.4;
NYK;Pat Cummings;30;80;16.6;5.3;1.2;0.4;
SEA;Clemon Johnson;30;52;14.4;2.4;0.9;2.3;
NJN;Ben Coleman;25;57;15.7;5.3;1.5;1.8;
SAS;Larry Krystkowiak;22;68;13.1;11.7;1;0.7;
NJN;Jeff Turner;24;75;11;8.6;1.6;0.8;
SAC;Mark Olberding;30;13;10.1;11.1;0.9;0.5;
MIL;Sidney Moncrief;29;35;7.1;17.1;1.3;0.6;
SAS;Ed Nealy;26;7;16;10.5;1.9;0.6;
PHO;William Bedford;23;77;14.1;7.7;0.9;2.2;
NYK;Chris McNealy;25;17;13.1;6.3;1.8;1;
MIL;Jerry Reynolds;24;75;10;15.1;2.5;1.9;
GSW;Purvis Short;29;86;7.9;14.2;2.2;0.4;
NJN;Kevin McKenna;28;41;4.6;14.4;2.7;0.4;
GSW;Jerome Whitehead;30;18;15.3;3.5;0.8;0.7;
LAC;Tim Kempton;23;33;11.4;7.7;1.9;0.7;
CHI;Elston Turner;27;24;7;14.9;1.6;0.3;
LAC;Quintin Dailey;26;61;4.9;13.8;2.2;0.5;
SAS;Mike Mitchell;31;43;6.2;6.2;1;0.6;
SAC;Harold Pressley;23;6;10.5;17.7;2.1;1.3;
MIL;Dudley Bradley;29;54;6.3;9.3;5.6;0.5;
UTA;Kent Benson;32;47;13.4;6;2;1.8;
CLE;Craig Ehlo;25;83;9.8;14;2.1;1.9;
CLE;Keith Lee;24;60;15.6;12.2;1.4;2.6;
LAC;Earl Cureton;29;82;14.2;8.5;1;2;
LAC;Kenny Fields;24;36;9.3;10.6;1.7;0.7;
PHI;Steve Colter;24;40;4.5;19.6;2.1;0.4;
UTA;Marc Iavaroni;30;52;10.6;5.6;0.9;0.7;
PHO;Grant Gondrezick;24;74;7.4;13.1;1.4;0.3;
HOU;Cedric Maxwell;31;15;12.1;11.9;0.7;0.3;
CHI;Mike Brown;23;89;14.8;4.1;1.2;0.5;
PHI;Danny Vranes;28;47;10.3;4.8;2.1;1.8;
LAC;Kurt Nimphius;28;70;9;3.2;0.9;2.9;
ATL;John Battle;24;28;4;22.3;1.8;0.4;
CLE;Melvin Turpin;26;95;12.8;6.5;0.7;2.8;
NJN;Ray Williams;32;8;5.3;33.7;2.2;0.7;
SAC;Othell Wilson;25;49;5.6;33.4;2.5;0.3;
HOU;Mitchell Wiggins;27;42;9.3;14.1;2.7;0.2;
CHI;Sedale Threatt;25;98;3.7;33.2;2.7;0.7;
NYK;Jawann Oldham;29;55;12.9;3.3;1.4;5.3;
LAL;Billy Thompson;23;90;12.5;10.3;0.9;2.2;
POR;Kevin Duckworth;22;67;14.3;4;1;1.3;
UTA;Carey Scurry;24;83;13.7;10.5;3.4;4.1;
BOS;Greg Kite;25;20;12.8;4.2;1.1;3.4;
SAS;Anthony Jones;24;36;7;12.1;2;1.4;
SAS;Tyrone Corbin;24;73;9;14.8;2.5;0.2;
BOS;Darren Daye;26;23;9.6;13.3;1.7;0.5;
IND;Ron Anderson;28;67;11.4;11.1;2.1;0.3;
PHO;Rafael Addison;22;54;8.4;9.1;1.8;0.6;
SEA;Kevin Williams;25;61;6.4;13.1;3;0.6;
GSW;Perry Moss;28;82;7.4;16.9;2.8;0.2;
ATL;Antoine Carr;25;44;12.1;7.2;1;4.1;
HOU;Lewis Lloyd;27;26;3.8;20.6;1.3;0.4;
LAL;Mychal Thompson;32;6;11.1;5.4;1;2.5;
WSB;Dan Roundfield;33;12;13.5;8.1;0.8;1.3;
PHI;Sedale Threatt;25;11;4.9;18.1;2.4;0.4;
SAC;Brook Steppe;27;41;5;16.3;1.3;0.3;
DAL;Al Wood;28;62;7.7;7.2;1.4;0.9;
PHO;Nick Vanos;23;32;15.8;8.4;1.4;2.1;
UTA;Dell Curry;22;82;6.4;13.7;2;0.4;
CLE;Johnny Newman;23;99;6;6.4;1.5;0.6;
MIL;Paul Mokeski;30;30;12.3;4.4;1.4;1.3;
SEA;Russ Schoene;26;31;11;6;1.6;1.1;
DAL;Bill Wennington;23;14;12.5;5.3;1.1;1;
NJN;James Bailey;29;32;14.2;5.7;1;2.5;
CHI;Granville Waiters;26;23;9.2;5.3;0.9;3.5;
LAL;Wes Matthews;27;40;4.9;24.1;2;0.4;
ATL;Spud Webb;23;59;6.1;42.6;3.1;0.2;
HOU;Buck Johnson;23;22;9.3;11.1;1.6;1.7;
IND;Walker Russell;26;69;5.9;34.1;1.9;0.6;
SEA;Eddie Johnson;31;77;4.9;30.7;1.1;0.1;
HOU;Dave Feitl;24;28;12.9;6.3;0.9;0.5;
ATL;Gus Williams;33;63;4.5;38;1.7;0.6;
POR;Mike Holton;25;100;4.4;19.7;1.5;0.2;
CHI;Steve Colter;24;13;5;26.5;2;0.8;
SEA;Michael Phelps;25;30;5.8;18.3;2.1;0.2;
SAC;Johnny Rogers;23;41;9;8;0.9;1;
MIL;Keith Smith;22;65;3.9;12.4;2.6;0.4;
IND;Stuart Gray;23;52;15.5;7.3;1.1;3.7;
NYK;Eddie Lee Wilkins;24;2;13.2;1.8;1;0.3;
CLE;Tyrone Corbin;24;15;11.8;5.2;1.8;0.3;
CLE;Ben Poquette;31;80;9.5;8.5;0.7;2.8;
LAC;Geoff Huston;29;76;2.2;33.3;1.5;0;
MIL;Junior Bridgeman;33;64;6.9;12.2;1.1;0.3;
LAL;Frank Brickowski;27;93;13.4;3.6;1.6;0.6;
WSB;Frank Johnson;28;78;4;20.7;2.5;0;
GSW;Chris Washburn;21;29;14.4;5.6;0.7;1.2;
SEA;Terence Stansbury;25;64;3.5;20.9;1.6;0;
BOS;Sam Vincent;23;9;4.1;20.8;1.7;0.1;
GSW;Clinton Smith;23;6;9;17.7;1.8;0.2;
DET;Tony Campbell;24;64;9.4;7.9;1.7;0.2;
PHO;Bernard Thompson;24;55;5.3;7;1.6;0.9;
HOU;Richard Anderson;26;20;13.9;15.4;1.1;0.6;
PHO;James Edwards;31;59;11.1;8.8;0.9;1.3;
LAC;Marques Johnson;30;28;6;15.2;1.9;0.9;
BOS;Rick Carlisle;27;73;5.7;14.4;1.3;0;
DEN;Maurice Martin;22;35;7.5;15.9;2.1;1.2;
PHI;World B. Free;33;95;3.8;15;0.9;0.8;
NJN;Pace Mannion;26;75;7.7;21.4;3;0.8;
NYK;Bob Thornton;24;83;11.1;3.8;0.7;0.6;
CLE;Scooter McCray;26;93;11.2;11.1;1.5;0.8;
DET;Kurt Nimphius;28;48;10.5;3.3;0.7;2.7;
DET;Chuck Nevitt;27;16;16.7;1.9;1.2;6.5;
ATL;Scott Hastings;26;65;14.8;6.5;1.9;1.6;
LAC;Steffond Johnson;24;27;10.1;3;1.8;0.5;
LAL;Mike Smrek;24;85;8.8;2.6;0.8;3.1;
BOS;Conner Henry;23;11;6.6;15.5;1.3;0.2;
LAL;Adrian Branch;23;73;13.5;10;3.5;0.8;
NYK;Bernard King;30;8;8.4;14.8;0.5;0;
MIL;Scott Skiles;22;43;7.1;27.9;1.2;0.3;
PHI;Kenny Green;22;62;9.4;5.9;1.1;0.7;
DEN;Otis Smith;23;48;10.6;17.5;0.3;0.3;
CHI;Ben Poquette;31;62;8.2;5.8;0.9;4.3;
NYK;Stewart Granger;25;68;5.7;22.6;2.1;0.4;
POR;Sam Bowie;25;48;11.3;7.5;0.3;3.4;
DAL;Uwe Blab;24;64;12.2;10.4;1.2;3.2;
CHI;Pete Myers;23;39;6.2;18.6;4.5;0.8;
SEA;Gerald Henderson;31;96;3.2;27.8;1.8;0;
IND;Michael Brooks;28;28;10.3;9.5;3;0;
POR;Fernando Martin;24;21;10.7;7.2;2.2;0.4;
WSB;Jay Murphy;24;9;14.7;5.6;1;0.8;
NYK;Brad Wright;24;14;21.6;1;1.1;2.5;
NJN;Chris Engler;27;5;14.3;4.2;1.1;4.1;
IND;Greg Dreiling;24;2;18.4;7.4;0.8;0.9;
NJN;Otis Birdsong;31;43;3.1;19.1;1.1;0;
WSB;Mike O'Koren;28;16;6;14.6;0.8;0;
CLE;Dirk Minniefield;26;43;4.4;14.4;2.3;0.5;
SAC;Franklin Edwards;27;94;4.5;29.1;1.9;0;
SAS;Kevin Duckworth;22;35;14;6.6;1.9;1.4;
PHI;Jeff Ruland;28;100;13.9;12.8;0;2;
WSB;Anthony Jones;24;59;4.2;8.4;4.2;0.5;
PHI;Mark McNamara;27;72;18.3;2.5;0.4;0;
BOS;Bill Walton;34;12;15.6;9.7;0.4;5;
NJN;Darryl Dawkins;30;22;10.1;2.9;0.9;1.7;
MIL;Marvin Webster;34;99;14.2;3.8;1.4;4.2;
SAC;Bruce Douglas;22;52;7.8;21.2;4.3;0;
HOU;Conner Henry;23;38;4.2;11;1.6;0;
DAL;Dennis Nutt;23;52;4.8;24.1;3.7;0;
BOS;David Thirdkill;26;56;12;2.8;1.1;0;
SAS;Frank Brickowski;27;75;12.6;7.8;3.4;1.4;
BOS;Scott Wedman;34;89;6.5;9.6;1.2;1.4;
MIL;Hank McDowell;27;74;15.1;3.8;1.4;0;
NYK;Bill Martin;24;1;5.8;0;2.9;1.7;
IND;Clark Kellogg;25;60;10;13.6;4;0;
MIL;Don Collins;28;74;14.6;5;1.7;1.1;
POR;Perry Young;23;73;7.5;15.9;3.5;1.1;
POR;Joe Binion;25;61;19.7;2.3;1.8;2.2;
MIL;Chris Engler;27;90;18.5;7.7;1;1.3;
GSW;Kevin Henderson;22;29;3.6;29.6;1;0;
DET;Jeff Taylor;27;75;4.9;9;2.2;1.3;
IND;Pete Verhoeven;27;38;8.7;6;2.2;1.4;
NJN;Michael Wilson;27;44;5.2;17.9;1.1;0;
SAS;Forrest McKenzie;23;78;9.2;3.3;1.1;0;
MIL;Jerome Henderson;27;4;10.8;0;1.3;1.7;
MIL;Mike Glenn;31;59;3.3;4;1.4;0;
SEA;Curtis Kitchen;23;14;15.8;4;3;5.5;
SAS;Mike Brittain;23;90;7.6;9.1;1.6;0;
CHI;Fred Cofield;25;41;10.5;19;3.7;0;
SAC;Jerry Eaves;27;96;2.1;0;1.8;0;
DAL;Myron Jackson;22;31;7.4;33.5;2.2;0;
MIL;Kenny Fields;24;23;5.1;7.6;2.2;0;
CHI;Perry Young;23;86;2.8;0;2.5;0;
DEN;Calvin Natt;30;20;13.1;13.4;2.3;0;
POR;Walter Berry;22;11;20.6;8.7;4.8;0;
BOS;Andre Turner;22;1;6.2;6.9;0;0;
POR;Chris Engler;27;18;26.3;8.6;2.7;3.3;
POR;Ron Rowan;24;64;3.5;9.3;11.4;0;
PHI;Jim Lampley;26;85;18;0;3.1;0;
ATL;Cedric Henderson;21;31;16.2;0;0;0;
DEN;Pete Williams;21;23;5.2;11.8;0;0;
NYK;McKinley Singleton;25;7;0;15.6;0;0;
DET;John Schweitz;26;91;7.7;0;0;0;
DET;Cozell McQueen;25;71;61.5;0;0;8.2;
CHI;Darren Daye;26;8;8.1;16.8;0;0;
MIL;Cedric Henderson;21;18;46.4;0;0;0;
LAC;Dwayne Polee;23;83;0;0;7.8;0;
ATL;Michael Wilson;27;6;0;57.4;0;0;
CHI;Michael Jordan;24;93;7.8;27;3.9;2.4;
NYK;Mark Jackson;22;81;7;37.4;3.1;0.1;
UTA;Karl Malone;24;43;16.6;10.1;1.7;0.9;
PHI;Charles Barkley;24;88;17.4;14.1;1.6;1.9;
SAC;Otis Thorpe;25;79;14.8;12.9;1;1;
DEN;Fat Lever;27;7;11.4;28.1;3.3;0.4;
POR;Clyde Drexler;25;21;9.4;23.5;3.1;1;
LAL;Byron Scott;26;38;6.2;16.4;2.5;0.5;
DAL;Derek Harper;26;5;4.4;30.4;2.7;0.7;
BOS;Danny Ainge;28;15;4.9;22.2;1.9;0.3;
POR;Terry Porter;24;25;6.8;35.9;2.3;0.3;
SAS;Alvin Robertson;25;67;9;26.1;3.8;1.3;
BOS;Larry Bird;31;33;14;25.7;2.1;1.1;
CLE;Brad Daugherty;22;93;13.2;17.3;0.8;1.1;
ATL;Dominique Wilkins;28;3;9.5;13.5;1.7;1;
DET;Isiah Thomas;26;90;5.3;35;2.4;0.3;
MIL;Jack Sikma;32;89;13.7;14.1;1.6;1.6;
DET;Bill Laimbeer;30;85;16;9.6;1.1;1.6;
POR;Jerome Kersey;25;93;12.3;11.7;2;1.3;
PHI;Maurice Cheeks;31;35;5.1;33.6;2.9;0.5;
UTA;John Stockton;25;23;4.5;54.8;4;0.3;
HOU;Hakeem Olajuwon;25;53;17.7;9.2;2.7;4.2;
DEN;Alex English;34;45;7;20.5;1.1;0.5;
CHI;Charles Oakley;24;84;21.7;12;1.2;0.6;
IND;Chuck Person;23;2;10.5;16.5;1.3;0.2;
UTA;Thurl Bailey;26;34;10.2;8.6;0.8;2.6;
SEA;Dale Ellis;27;99;6.9;11.4;1.3;0.2;
DEN;Michael Adams;25;94;4.2;22.5;2.8;0.3;
NJN;John Bagley;27;82;5.4;25.8;1.9;0.2;
IND;Vern Fleming;25;64;7.3;29.3;2.1;0.2;
DET;Joe Dumars;24;32;4.1;20;1.6;0.3;
UTA;Mark Eaton;31;75;14.1;2.5;0.7;6.4;
SEA;Xavier McDaniel;24;76;10.8;15.2;1.7;1.2;
NYK;Gerald Wilkins;24;46;5.7;19.1;1.6;0.5;
WSB;Moses Malone;32;42;18.3;6.4;1.1;1.6;
IND;Steve Stipanovich;27;58;13.5;9.5;1.6;1.5;
HOU;Rodney McCray;26;90;12.3;13.1;1;1.1;
SEA;Tom Chambers;28;77;10.3;11.9;1.6;1.2;
BOS;Dennis Johnson;33;1;5.3;28.8;1.7;0.6;
LAC;Michael Cage;26;59;18.8;6.2;1.6;1.2;
WSB;Jeff Malone;26;39;4.3;14.9;0.9;0.3;
LAL;James Worthy;26;18;8;16.2;1.3;1.2;
SAC;Reggie Theus;30;61;4.8;27.2;1.1;0.3;
LAL;Magic Johnson;28;19;9.7;45.4;2.1;0.3;
NJN;Buck Williams;27;61;18.3;6.5;1.3;1;
LAL;A.C. Green;24;9;15.3;4.5;1.6;1;
MIL;Terry Cummings;26;23;11.8;11.6;1.5;1;
CLE;Mark Price;23;95;4;28.1;1.9;0.3;
DAL;Mark Aguirre;28;93;9;18.4;1.3;1.3;
DAL;Rolando Blackman;28;2;5.2;15.1;1.2;0.4;
NYK;Patrick Ewing;25;23;15.2;8.3;2;6;
LAC;Mike Woodson;29;16;4;18.5;2;0.6;
DAL;James Donaldson;30;7;16.3;3.4;0.8;2.4;
ATL;Doc Rivers;26;38;8.1;42.1;2.8;1;
DAL;Sam Perkins;26;37;13.1;6.7;1.5;1.2;
MIL;Paul Pressey;29;58;8.5;29.6;2.2;0.8;
SEA;Nate McMillan;23;30;7.7;35.9;3.3;1.2;
WSB;John Williams;21;81;10.2;14.3;2.4;0.8;
ATL;Randy Wittman;28;7;3.9;17.5;1;0.5;
BOS;Kevin McHale;30;2;13.3;10.5;0.6;2.2;
IND;Wayman Tisdale;23;47;11.3;6.6;1.1;0.8;
CHI;Dave Corzine;31;30;13;9.2;0.8;2.5;
BOS;Robert Parish;34;82;16.1;6.9;1.2;2.1;
LAL;Kareem Abdul-Jabbar;40;7;11.7;8.4;1;2.2;
DAL;Roy Tarpley;23;59;22.6;5.6;2.2;2.1;
MIL;Randy Breuer;27;90;13.7;6.7;1;2.8;
PHO;Jeff Hornacek;24;52;6.6;31.5;2.3;0.3;
SAS;Frank Brickowski;28;57;11.7;16;1.5;0.9;
POR;Kevin Duckworth;23;61;14;4.1;0.6;0.8;
CHI;Brad Sellers;25;44;6.5;8.9;0.8;1.8;
GSW;Rod Higgins;28;60;7.5;12.3;1.5;0.8;
SAS;Johnny Dawkins;24;12;5.1;29.4;1.9;0.1;
PHO;Eddie Johnson;28;5;8.2;12.6;0.7;0.2;
LAC;Benoit Benjamin;23;94;13;12.2;1.1;5.9;
SAC;Kenny Smith;22;44;3.5;27.7;2;0.2;
DEN;Danny Schayes;28;41;16.1;6.2;1.3;2.4;
HOU;Allen Leavell;30;65;3.6;25.3;2.7;0.2;
DET;Dennis Rodman;26;27;18.6;7.4;1.7;1.2;
DET;Adrian Dantley;31;48;5.9;11.9;0.9;0.3;
NYK;Kenny Walker;23;20;10.4;5.8;1.4;1.7;
ATL;Cliff Levingston;27;87;13.1;4.6;1.2;2.4;
GSW;Winston Garland;23;7;6;28.3;2.6;0.2;
PHI;Cliff Robinson;27;62;11.1;10.7;1.9;1.1;
CLE;Hot Rod Williams;25;66;14.1;7.1;1.4;4.1;
ATL;Kevin Willis;25;100;14.5;1.9;1.6;1.2;
NYK;Sidney Green;27;39;17.9;6.3;1.5;1;
WSB;Bernard King;31;74;7.7;15.3;1.2;0.3;
GSW;Ben McDonald;25;58;9.1;9;0.9;0.2;
GSW;Chris Mullin;24;80;5.6;22.1;2.6;0.9;
SAC;Harold Pressley;24;48;9.9;12.7;2;1.5;
LAC;Larry Drew;29;27;3.1;29.4;1.5;0;
IND;John Long;31;28;6.2;12.9;2;0.3;
LAL;Mychal Thompson;33;7;13.8;4.6;0.9;2.2;
DET;John Salley;23;85;11.2;7.6;1.3;4;
SAC;Joe Kleine;26;13;15.8;6.5;0.7;1.6;
SAS;Greg Anderson;23;15;14;5.3;1.3;3.4;
IND;Herb Williams;29;42;13.1;7;0.9;4.4;
DET;Rick Mahorn;29;46;16.1;4.2;1.1;1.3;
PHO;Walter Davis;33;56;4.6;21.9;2.1;0.1;
HOU;Purvis Short;30;8;5.9;13;1.4;0.4;
DET;Vinnie Johnson;31;35;6.7;21.1;1.5;0.5;
SAS;Walter Berry;23;5;11.1;8.7;1.3;1.8;
CHI;John Paxson;27;69;3.2;22.5;1.3;0;
NJN;Otis Birdsong;32;89;5.1;18.7;1.4;0.4;
IND;Reggie Miller;22;15;5.7;10.2;1.4;0.6;
HOU;Sleepy Floyd;27;100;5.8;27.6;1.7;0.3;
CLE;Ron Harper;24;47;7.2;23.6;3.3;1.7;
CHI;Horace Grant;22;49;14;6.7;1.4;1.7;
SEA;Alton Lister;29;25;19.5;4;0.7;4.8;
PHO;Armen Gilliam;23;45;13.5;5.6;1.5;0.9;
UTA;Bob Hansen;27;83;5.6;13.8;1.7;0.2;
LAL;Michael Cooper;31;94;7.2;20.2;1.8;0.8;
HOU;Jim Petersen;25;79;12.7;8;0.9;1.2;
DEN;Blair Rasmussen;25;71;12.9;6.2;0.6;2.6;
POR;Caldwell Jones;37;95;12.4;5.3;0.8;3.2;
PHI;Mike Gminski;28;46;16.2;7.4;1;2.9;
MIL;John Lucas;34;37;5.1;32.1;2.5;0.1;
ATL;Tree Rollins;32;80;14.5;1.4;0.9;4.6;
DEN;Jay Vincent;28;11;9.2;11.7;1.2;0.8;
NJN;Roy Hinson;26;22;11.5;6.6;1.3;2.5;
CLE;Craig Ehlo;26;83;9.4;17.1;2.4;1;
SEA;Derrick McKey;21;22;10.8;8.4;2;2.3;
NYK;Bill Cartwright;30;62;13.1;7.5;1.2;1.6;
CHI;Scottie Pippen;22;28;10.4;14.5;2.8;1.9;
PHO;Alvan Adams;33;74;12.5;14.9;2.4;1.4;
LAC;Darnell Valentine;28;91;5.1;34.9;3.6;0.3;
CLE;Phil Hubbard;31;50;10.1;7.2;1.5;0.3;
WSB;Muggsy Bogues;23;6;4.7;33.5;3.8;0.1;
WSB;Terry Catledge;24;98;13.8;5.9;1;0.3;
GSW;Tellis Frank;22;51;11.5;9.6;1.6;0.8;
HOU;Joe Barry Carroll;29;44;13;8.7;1.1;2.8;
PHI;Albert King;28;31;7.9;10.1;1.2;0.7;
NYK;Johnny Newman;24;67;5.7;5.7;2.2;0.4;
DAL;Detlef Schrempf;25;92;9.6;14.1;1.3;1.2;
PHO;Jay Humphries;25;58;5.5;31.1;1.9;0.1;
DEN;T.R. Dunn;32;71;8.2;6.3;3;0.4;
NJN;Tim McCormick;25;83;12.4;9.7;0.6;0.6;
SAS;Mike Mitchell;32;43;7.1;6.6;0.9;0.5;
CLE;Dell Curry;23;21;6.5;16.3;3.1;0.9;
ATL;Antoine Carr;26;23;10.8;10.2;1.3;3.4;
DAL;Brad Davis;32;85;3.7;28.3;1.7;0.7;
PHO;Larry Nance;28;76;15;12.3;1.4;3.8;
PHI;Gerald Henderson;32;20;3.9;22.5;2.3;0.2;
LAC;Ken Norman;23;12;9.7;8.5;1.5;1.3;
NJN;Dudley Bradley;30;12;5.1;14.9;3.9;1.8;
MIL;Sidney Moncrief;30;82;7.1;20.4;1.4;0.6;
PHI;David Wingate;24;79;4.1;12.8;1.7;0.9;
NJN;Pearl Washington;24;55;5;23.6;3.2;0.2;
PHO;James Edwards;32;71;13.7;7.4;0.5;1.3;
NJN;Dennis Hopson;22;27;6.1;13.3;2;1.1;
WSB;Steve Colter;25;64;6.4;24.5;2;0.6;
GSW;Otis Smith;24;32;8.9;16;3;1.5;
ATL;Spud Webb;24;50;6;34.3;2.3;0.5;
DEN;Bill Hanzlik;30;9;6.7;14.3;2.2;0.7;
WSB;Charles Jones;30;93;13.8;5.7;2;5;
POR;Richard Anderson;27;53;11.9;10.4;1.8;0.7;
LAC;Quintin Dailey;27;40;6.4;15.5;2.6;0.2;
POR;Mike Holton;26;98;6.3;20.6;1.5;0.4;
WSB;Frank Johnson;29;27;5.4;22.2;2.7;0.2;
SAC;LaSalle Thompson;26;25;18.5;7.7;2;3.2;
NYK;Trent Tucker;28;91;5.5;13.5;2.1;0.3;
UTA;Marc Iavaroni;31;55;11.6;7;0.9;1.2;
SAS;Dave Greenwood;30;81;13.1;9.6;1.2;1;
ATL;John Battle;25;12;5.1;20;1.3;0.2;
GSW;Jerome Whitehead;31;79;14.6;4.4;1.2;1;
NJN;Mike Gminski;28;14;15.5;7.3;1.1;1.7;
POR;Maurice Lucas;35;50;14.3;10;1.3;0.5;
SAC;Terry Tyler;31;98;11.1;6.6;1.7;2.2;
CLE;Mark West;27;73;14;6.2;1;3.9;
SAC;Ed Pinckney;24;15;10.6;7.8;1.6;1.5;
MIL;Jerry Reynolds;25;55;7.8;13;3.1;1.6;
BOS;Mark Acres;25;36;13.9;4.5;1.2;1.3;
CLE;Tyrone Corbin;25;62;11.3;7;1.8;0.8;
LAC;Joe Wolf;23;2;8.7;12.6;1.6;0.8;
WSB;Manute Bol;25;63;13.5;1.5;0.5;10.6;
LAC;Earl Cureton;30;43;12.8;8.1;1.4;1.8;
GSW;Dave Feitl;25;3;16.5;6.6;0.6;0.5;
NJN;Dallas Comegys;23;39;11.3;8.6;1.6;3.8;
UTA;Rickey Green;33;23;3.8;36.2;2.4;0.1;
IND;Ron Anderson;29;61;10.8;10.5;1.8;0.3;
SEA;Kevin Williams;26;36;6.6;12.5;2.7;0.4;
SEA;Olden Polynice;23;65;17.2;3.9;1.4;1.5;
ATL;Jon Koncak;24;54;17.3;2.3;1.7;3.2;
UTA;Darrell Griffith;29;86;6.5;13.4;2.3;0.3;
POR;Steve Johnson;30;1;12.5;8;0.8;1.7;
MIL;Larry Krystkowiak;23;16;12.4;6.5;0.8;0.5;
CLE;Kevin Johnson;21;90;4.1;26.4;2.8;1;
POR;Kiki Vandeweghe;29;48;5.7;10.4;0.9;0.4;
BOS;Fred Roberts;27;44;9.3;10.4;0.8;0.8;
SAS;Jon Sundvold;26;33;2.5;23.4;1.2;0.1;
SAS;Petur Gudmundsson;29;84;17.2;10.6;0.8;3.3;
UTA;Melvin Turpin;27;32;12.5;4.6;1.2;3.9;
CHI;Rory Sparrow;29;73;4;21.7;1.9;0.2;
MIL;Craig Hodges;27;23;2.6;16;1.5;0;
HOU;Robert Reid;32;4;6.7;9.6;1.3;0.3;
LAC;Greg Kite;26;52;13.1;6.4;0.8;2.9;
UTA;Kelly Tripucka;28;31;6.4;14.5;1.6;0.2;
SEA;Russ Schoene;27;78;11.4;8;1.9;0.8;
MIL;Ricky Pierce;28;29;4.8;12.7;1.1;0.4;
