Tm;Player;Age;PER;points;rebounds;assists;steals;blocks
SEA;Fred Brown;29;29;4.9;19.9;2.6;0.7;
LAL;Don Ford;25;65;9.3;9.1;1.6;1.2;
ATL;Charlie Criss;29;14;3.4;22.5;2.6;0.2;
POR;Bill Walton;25;72;20.7;22.8;1.4;4.1;
PHO;Ron Lee;25;26;6.8;21.8;5;0.5;
PHO;Alvan Adams;23;26;15.2;16.4;1.9;1.7;
KCK;Otis Birdsong;22;65;4.8;14.1;1.7;0.3;
MIL;Junior Bridgeman;24;49;8.2;13.4;1.7;0.8;
SAS;Coby Dietrick;29;97;10;14;1.9;1.4;
ATL;Eddie Johnson;22;23;4.4;18.9;2.5;0.1;
IND;Earl Tatum;24;100;5.4;17.6;2.5;0.8;
NOJ;Paul Griffin;24;53;13.2;11.4;2.1;1.2;
HOU;Robert Reid;22;64;10.3;8.7;1.7;1.5;
POR;Dave Twardzik;27;29;3.8;17.5;2.7;0.1;
PHI;Steve Mix;30;98;8.3;12.7;2.1;0.1;
SEA;John Johnson;30;38;8.6;17;1.1;0.6;
CHI;Scott May;23;47;10;9.2;1.3;0.2;
GSW;E.C. Coleman;27;51;10.6;7.1;1.7;0.7;
CLE;Jim Brewer;26;87;13.9;7;1.5;1.4;
ATL;Tree Rollins;22;93;16.7;6.3;1.5;7.2;
SAS;Mark Olberding;21;56;11;8.9;1.1;0.7;
CHI;John Mengelt;28;21;4;19.9;1.4;0.1;
NYK;Spencer Haywood;28;7;12.9;9.9;0.9;2.1;
NOJ;Jim McElroy;24;97;4;22.5;1.5;1;
WSB;Mitch Kupchak;23;93;12.9;5.9;0.7;1.2;
KCK;Bill Robinzine;25;18;15.8;5.6;1.9;0.3;
PHI;Darryl Dawkins;21;25;16.3;6.8;0.9;3.7;
POR;Tom Owens;28;89;16.4;13;0.9;1.2;
BUF;Wil Jones;30;59;10.5;9.3;1.9;1.3;
ATL;Ollie Johnson;28;61;8.3;10.5;2.2;1.3;
ATL;Tom McMillen;25;29;13.5;7.4;0.9;0.6;
IND;James Edwards;22;10;12.6;4.9;1;1.5;
CLE;Walt Frazier;32;10;6.4;18.5;2.1;0.4;
GSW;Charles Dudley;27;76;8.8;29.8;1.9;0.1;
BOS;Jo Jo White;31;64;5.6;18.1;1.4;0.2;
PHI;Caldwell Jones;27;53;17.6;6.9;0.7;4;
PHO;Dennis Awtrey;29;8;9.6;11.5;0.5;0.8;
DEN;Anthony Roberts;22;1;11.3;9.4;1.1;0.2;
ATL;John Brown;26;39;10.3;9.1;1.6;0.3;
CLE;Bingo Smith;31;6;6.6;8.9;1.1;0.7;
MIL;Alex English;24;21;13.4;11.4;1.2;1.8;
